FBgn,Dependent,Source,DF,SS,MS,FValue,ProbF
FBgn0000451,Expression,Corrected Total,131,898,_,_,_
FBgn0000454,Expression,Model,65,3096228,47634,8.56,5.81575E-16
FBgn0000454,Expression,Error,66,367364,5566,_,_
FBgn0000454,Expression,Corrected Total,131,3463593,_,_,_
FBgn0000455,Expression,Model,65,223038,3431,3.41,7.57015E-07
FBgn0000455,Expression,Error,66,66423,1006,_,_
FBgn0000455,Expression,Corrected Total,131,289461,_,_,_
FBgn0000459,Expression,Model,65,7300,112,26.23,5.65506E-30
FBgn0000459,Expression,Error,66,283,4,_,_
FBgn0000459,Expression,Corrected Total,131,7583,_,_,_
FBgn0000463,Expression,Model,65,190495,2931,8.60,5.04380E-16
FBgn0000463,Expression,Error,66,22480,341,_,_
FBgn0000463,Expression,Corrected Total,131,212975,_,_,_
FBgn0000464,Expression,Model,65,22648,348,9.16,9.53393E-17
FBgn0000464,Expression,Error,66,2510,38,_,_
FBgn0000464,Expression,Corrected Total,131,25158,_,_,_
FBgn0000473,Expression,Model,65,564132,8679,9.01,1.47102E-16
FBgn0000473,Expression,Error,66,63542,963,_,_
FBgn0000473,Expression,Corrected Total,131,627674,_,_,_
FBgn0000477,Expression,Model,65,338999,5215,3.77,1.09478E-07
FBgn0000477,Expression,Error,66,91239,1382,_,_
FBgn0000477,Expression,Corrected Total,131,430237,_,_,_
FBgn0000479,Expression,Model,65,496200,7634,7.26,3.98208E-14
FBgn0000479,Expression,Error,66,69367,1051,_,_
FBgn0000479,Expression,Corrected Total,131,565567,_,_,_
FBgn0000482,Expression,Model,65,5345,82,1.99,2.95072E-03
FBgn0000482,Expression,Error,66,2725,41,_,_
FBgn0000482,Expression,Corrected Total,131,8070,_,_,_
FBgn0000489,Expression,Model,65,278525,4285,4.20,1.24825E-08
FBgn0000489,Expression,Error,66,67317,1020,_,_
FBgn0000489,Expression,Corrected Total,131,345843,_,_,_
FBgn0000490,Expression,Model,65,23651,364,8.51,6.70705E-16
FBgn0000490,Expression,Error,66,2821,43,_,_
FBgn0000490,Expression,Corrected Total,131,26473,_,_,_
FBgn0000492,Expression,Model,65,5543,85,8.00,3.33187E-15
FBgn0000492,Expression,Error,66,703,11,_,_
FBgn0000492,Expression,Corrected Total,131,6246,_,_,_
FBgn0000499,Expression,Model,65,135241,2081,5.67,1.62408E-11
FBgn0000499,Expression,Error,66,24201,367,_,_
FBgn0000499,Expression,Corrected Total,131,159441,_,_,_
FBgn0000500,Expression,Model,65,87418,1345,7.85,5.53751E-15
FBgn0000500,Expression,Error,66,11311,171,_,_
FBgn0000500,Expression,Corrected Total,131,98728,_,_,_
